,Model,x,y,input_len,sigma,learning_rate,num_iterations,R2,Silhouette,Calinski-Harabasz
0,som,15,15,17,0.5,1.0,700,0.9650965060911739,0.24768796339609936,25820.471353134282
1,som,15,15,17,0.5,0.9,700,0.9554938186441201,0.2694528911864384,24507.815403221164
2,som,15,15,17,0.5,0.8,700,0.9560359273444616,0.27088769801768425,24824.090632406296
3,som,15,15,17,0.5,1.0,710,0.9695425655424407,0.2660640633822899,37737.67331099982
4,som,15,15,17,0.5,0.9,710,0.9645491187423256,0.2787683578853372,28915.582762843398
5,som,15,15,17,0.5,0.8,710,0.9562976431190571,0.2682298080324743,32122.865682581596
6,som,15,15,17,0.5,1.0,720,0.9709960753113495,0.2669088551700692,34392.04448623056
7,som,15,15,17,0.5,0.9,720,0.9655209721490998,0.2639573300039668,30824.45406201833
8,som,15,15,17,0.5,0.8,720,0.9578799817466888,0.27607202992560165,28039.58192020851
9,som,15,15,17,0.5,1.0,730,0.9645617683103117,0.26995478841931214,28926.283439749575
10,som,15,15,17,0.5,0.9,730,0.9581909962545817,0.29150544685040247,30716.491253166074
11,som,15,15,17,0.5,0.8,730,0.9582668861467598,0.26458900826313514,25275.18743593943
12,som,15,15,17,0.5,1.0,740,0.9646733721092704,0.2547287592210005,28052.747016590176
13,som,15,15,17,0.5,0.9,740,0.958768818033432,0.2796034528012016,29866.199364844175
14,som,15,15,17,0.5,0.8,740,0.9586545002095537,0.2697063222323424,28587.93964443712
15,som,15,15,17,0.5,1.0,750,0.9653009782613045,0.25389481728081564,26790.81314515917
16,som,15,15,17,0.5,0.9,750,0.9633733673974694,0.27812190021489086,31181.657878392896
17,som,15,15,17,0.5,0.8,750,0.9636626567443805,0.2680620868653058,31439.339731965374
18,som,15,15,17,0.5,1.0,760,0.9601553199720887,0.2734537924029823,27508.58179668045
19,som,15,15,17,0.5,0.9,760,0.9607128789219895,0.27707355298490755,23549.613697634497
20,som,15,15,17,0.5,0.8,760,0.959398838372237,0.24035394534874602,24274.931729683674
21,som,15,15,17,0.5,1.0,770,0.9598515658070313,0.2581512331280475,27291.821200031172
22,som,15,15,17,0.5,0.9,770,0.9596675339559302,0.28868488820185395,28207.694026485882
23,som,15,15,17,0.5,0.8,770,0.9596329485229602,0.27424759434132584,30533.034322812033
24,som,15,15,17,0.5,1.0,780,0.963290612853638,0.24079227851198073,24504.312345804265
25,som,15,15,17,0.5,0.9,780,0.9618773315121548,0.23740035482388097,25919.921712130148
26,som,15,15,17,0.5,0.8,780,0.9602778606263022,0.2546783902801186,24834.851842713455
27,som,15,15,17,0.5,1.0,790,0.9663550533521469,0.23996871174463866,24583.76304586693
28,som,15,15,17,0.5,0.9,790,0.9608938522815873,0.267714328853076,21031.093857350526
29,som,15,15,17,0.5,0.8,790,0.9602958537979848,0.27552722507987376,28672.842601504624
