,Model,n_clusters,linkage,metric,R2,Silhouette,Calinski-Harabasz
0,hierarchical,2,ward,euclidean,0.12888499705717354,0.4387061388410122,4564.086688658472
1,hierarchical,3,ward,euclidean,0.23133844893276548,0.1564659986445788,4641.898065749518
2,hierarchical,4,ward,euclidean,0.26570447273162506,0.12833939987201698,3720.53660573123
3,hierarchical,5,ward,euclidean,0.28644125377097895,0.06517376254144583,3095.498625466999
4,hierarchical,6,ward,euclidean,0.30540246622069056,0.06665273430395664,2712.3141704403583
5,hierarchical,2,complete,l2,0.02707586833473812,0.6808899636556167,858.4804911386667
6,hierarchical,3,complete,l2,0.02774016623449276,0.6787603453207213,440.0577284592578
7,hierarchical,4,complete,l2,0.029586426119974345,0.6660941283889693,313.4824589789503
8,hierarchical,2,complete,l1,0.0011935572826604216,0.7896507260748122,36.86285298244181
9,hierarchical,3,complete,l1,0.04021968637304716,0.6767597410907734,646.323251234196
10,hierarchical,4,complete,l1,0.04138611763491121,0.6592397071202323,443.9035041635206
11,hierarchical,5,complete,l1,0.04235873297784413,0.6592187927982744,341.08678366663304
12,hierarchical,6,complete,l1,0.05245527910522802,0.6222119220746644,341.499581612421
13,hierarchical,2,complete,manhattan,0.0011935572826604216,0.7896507260748122,36.86285298244181
14,hierarchical,3,complete,manhattan,0.04021968637304716,0.6767597410907734,646.323251234196
15,hierarchical,4,complete,manhattan,0.04138611763491121,0.6592397071202323,443.9035041635206
