,Model,n_components,covariance_type,init_params,R2,Silhouette,Calinski-Harabasz
0,gmm,7,full,kmeans,0.17169196514192742,-0.0027560983040632496,1065.5245508554142
1,gmm,8,full,kmeans,0.18860892194186288,-0.015648059059665098,1024.180487742927
2,gmm,9,full,kmeans,0.20906334117783487,-0.020696851524215968,1019.0010845601888
3,gmm,10,full,kmeans,0.2241415013797183,-0.03250736550689912,989.9462501994219
4,gmm,11,full,kmeans,0.2183250153201135,-0.03911659868855064,861.3458636154617
5,gmm,12,full,kmeans,0.22219712004195838,-0.02648996383885297,800.8706861591223
6,gmm,13,full,kmeans,0.22739281242824855,-0.02499447001737337,756.325710059777
7,gmm,7,tied,kmeans,0.32397216084534364,0.10899676779972622,2463.476792476447
8,gmm,8,tied,kmeans,0.30724253496151144,0.05687206718909903,1954.090251434844
9,gmm,9,tied,kmeans,0.30720459133026645,0.10565973588517359,1709.4687483944879
10,gmm,10,tied,kmeans,0.3071040834924442,0.10393482673495599,1518.7610448117068
11,gmm,11,tied,kmeans,0.3089430649510409,0.06015182855833705,1378.6845478007097
12,gmm,12,tied,kmeans,0.30879659283509314,0.06317585496757015,1252.449283135382
13,gmm,13,tied,kmeans,0.33993047303395624,0.07484391240097144,1323.4004864520107
14,gmm,7,diag,kmeans,0.22190940645493032,0.011545491059018819,1466.0571832443054
15,gmm,8,diag,kmeans,0.2187783379950202,-0.019755869770228838,1233.8845734668223
16,gmm,9,diag,kmeans,0.23556698026207357,-0.023177052385157493,1187.9917943552025
17,gmm,10,diag,kmeans,0.24267419414869795,-0.03083862086911381,1098.026193646981
18,gmm,11,diag,kmeans,0.25947519562453697,-0.013606314755028423,1080.5790043202803
19,gmm,12,diag,kmeans,0.2647132139577261,-0.029110317530639956,1009.2816530895778
20,gmm,13,diag,kmeans,0.2628531181808024,-0.02617591295475426,916.3259278505527
21,gmm,7,spherical,kmeans,0.3421657323961211,0.025872010594114477,2673.7782356473376
22,gmm,8,spherical,kmeans,0.3529303748536648,-0.010552161964289758,2403.1590592025964
23,gmm,9,spherical,kmeans,0.36055311700558534,-0.022764986202223378,2173.718212038412
24,gmm,10,spherical,kmeans,0.3764179326313257,-0.00798842459650532,2068.4667664132085
25,gmm,11,spherical,kmeans,0.38350447259094855,-0.009301043670815499,1918.40717481556
26,gmm,12,spherical,kmeans,0.39217239688695255,-0.01900077875601993,1808.7982234167346
27,gmm,13,spherical,kmeans,0.3911648777688341,-0.021391617453173372,1651.0150415810028
