,Model,n_clusters,linkage,metric,R2,Silhouette,Calinski-Harabasz
0,hierarchical,2,ward,euclidean,0.3214272372213552,0.2887212153968592,14612.121142619759
1,hierarchical,3,ward,euclidean,0.4482150464819517,0.27131091397332574,12528.512648519896
2,hierarchical,4,ward,euclidean,0.5093449219830896,0.24892464608893608,10673.657977813611
3,hierarchical,5,ward,euclidean,0.5459427983863153,0.18892394038286836,9271.74239081435
4,hierarchical,6,ward,euclidean,0.5719922676599469,0.17830992562109055,8244.02372697563
5,hierarchical,7,ward,euclidean,0.590155296193878,0.13327001771773575,7402.055636955404
6,hierarchical,8,ward,euclidean,0.6027191072372623,0.13525616640403554,6684.389898592833
7,hierarchical,9,ward,euclidean,0.6148012202103932,0.11196761703888633,6153.019371862962
8,hierarchical,2,complete,l2,0.04872115485377865,0.45267697757085607,1579.9260044478963
9,hierarchical,3,complete,l2,0.04912931079829556,0.4516307877256526,796.8969216338211
10,hierarchical,4,complete,l2,0.05193392025351062,0.4178158799987694,563.2356008231199
11,hierarchical,5,complete,l2,0.0521957000401634,0.41778071131278866,424.65949136477315
12,hierarchical,2,complete,l1,0.01412777672877894,0.6064817457841908,442.05896691448993
13,hierarchical,3,complete,l1,0.014463482329714339,0.6040206496464032,226.35134844062435
14,hierarchical,4,complete,l1,0.04513535959862491,0.4493505943032686,486.0183818282728
15,hierarchical,5,complete,l1,0.06879081689864594,0.35525757138637476,569.6498664702258
16,hierarchical,6,complete,l1,0.06929557041996516,0.3552644227894042,459.2978191792329
17,hierarchical,2,complete,manhattan,0.01412777672877894,0.6064817457841908,442.05896691448993
18,hierarchical,3,complete,manhattan,0.014463482329714339,0.6040206496464032,226.35134844062435
19,hierarchical,4,complete,manhattan,0.04513535959862491,0.4493505943032686,486.0183818282728
